participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Batty House,51,6.744508622,44.25549138,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Snow Church,94,89.63525726,4.364742741,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Lynch Station,33,17.76205492,15.23794508,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Golledge Hall,50,51.85616181,1.856161813,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Harvey House,79,23.09134403,55.90865597,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Golledge Hall,81,67.30353066,13.69646934,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Lynch Station,135,156.2355625,21.23556255,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Harvey House,70,147.248191,77.248191,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Sauer Center,0,20.69981416,20.69981416,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Batty House,148,171.0086651,23.00866514,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Harris Hall,156,173.2852643,17.28526433,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Snow Church,33,38.78279809,5.782798086,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Lynch Station,32,47.32798389,15.32798389,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Golledge Hall,27,51.76768154,24.76768154,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Snow Church,57,48.19947553,8.800524469,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Tobler Museum,90,37.30802198,52.69197802,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Sauer Center,71,30.3316951,40.6683049,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Harvey House,34,93.19423766,59.19423766,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Batty House,Lynch Station,Harris Hall,51,37.5286373,13.4713627,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Tobler Museum,21,17.95076442,3.049235579,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Harvey House,69,48.19593801,20.80406199,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Golledge Hall,69,3.323863738,65.67613626,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Sauer Center,19,29.20903342,10.20903342,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Batty House,4,130.6542463,126.6542463,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Snow Church,64,8.968174613,55.03182539,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Lynch Station,Harris Hall,Harris Hall,6,7.021704671,1.021704671,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Lynch Station,97,114.5627943,17.56279428,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Harvey House,161,2.146796904,158.8532031,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Snow Church,97,84.7281122,12.2718878,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Sauer Center,112,110.6574336,1.342566366,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Batty House,90,83.35216568,6.647834315,same,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Tobler Museum,121,99.95984558,21.04015442,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harris Hall,Harvey House,Golledge Hall,83,77.71082192,5.289178075,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Tobler Museum,73,42.14615863,30.85384137,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Sauer Center,15,46.29205396,31.29205396,different,TRUE
10,2011-06-20 22:01:59 UTC,0,Harvey House,Harris Hall,Golledge Hall,20,64.9530254,44.9530254,different,TRUE
